field,allowed_values,role,notes
pollen_vector,abiotic|biotic|mixed|unknown,predictor,"Top-level pollen-vector class"
dominant_pollination_mode,wind|water|insect|bird|bat|other_vertebrate|ambophilous|mixed_biotic|unknown,predictor,"Dominant mode; do not infer solely from floral syndrome"
pollinator_guilds,semicolon-separated guilds,predictor,"bee; butterfly; moth; fly; beetle; wasp; bird; bat; other"
pollinator_guild_count,integer_or_NA,predictor,"Derived from documented effective pollinator guilds"
pollination_specialization,specialist|intermediate|generalist|unknown,predictor,"Evidence-based; document rule/source"
showy_perianth,yes|no|unknown,design_control,"Separates pollination effects from absence of visible display opportunity"
display_structure,petal_or_tepal|bract|stamen|inflorescence|reduced|other|unknown,design_control,"Structure carrying the coded colour signal"
human_visible_colour_display,yes|no|unknown,design_control,"Primary sensitivity-analysis filter"
species_level_colour_variation,yes|no|unknown,outcome,"More than one natural floral colour state documented anywhere in species"
outcome_class,monomorphic_confirmed|geographic_mosaic|mixed|local_coexistence|unknown,outcome,"Unknown is never recoded automatically as monomorphic"
within_population_coexistence,yes|no|unknown,outcome_component,"Same population and overlapping flowering period"
among_population_differentiation,yes|no|unknown,outcome_component,"Population-level colour-frequency differentiation"
range_size_km2,continuous_or_NA,opportunity_axis,"Do not interpret as balancing mechanism by itself"
environmental_heterogeneity,continuous_or_NA,theory_predictor,"Metric must be declared before analysis"
connectivity_proxy,continuous_or_NA,theory_predictor,"Migration/connectivity proxy; scale dependent"
sampling_effort,continuous_or_NA,bias_control,"Composite or component measures must be prespecified"
source_type,primary_population|primary_species|flora|monograph|database|review|other,evidence,"Use primary evidence for final outcome confirmation where possible"
evidence_status,verified|probable|screening|needs_full_text|rejected,evidence,"Screening rows are not analysis-ready"
