query_name,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches,exact_unique_match,in_synthetic_tree,duplicate_ott_id,model_eligible
Agave lechuguilla,agave lechuguilla,Agave lecheguilla,False,1.0,447318.0,True,,1.0,True,True,False,True
Anemone palmata,anemone palmata,Anemone palmata,False,1.0,896051.0,False,sibling_higher,1.0,True,True,False,True
Antirrhinum majus,antirrhinum majus,Antirrhinum majus,False,1.0,596457.0,False,sibling_higher,1.0,True,True,False,True
Aquilegia coerulea,aquilegia coerulea,Aquilegia coerulea,False,1.0,192307.0,False,,1.0,True,True,False,True
Bletilla striata,bletilla striata,Bletilla striata,False,1.0,147334.0,False,,1.0,True,True,False,True
Calceolaria uniflora,calceolaria uniflora,Calceolaria uniflora,False,1.0,92842.0,False,,1.0,True,True,False,True
Campanula americana,campanula americana,Campanula americana,False,1.0,270849.0,False,sibling_higher,1.0,True,True,False,True
Convolvulus arvensis,convolvulus arvensis,Convolvulus arvensis,False,1.0,1071032.0,False,,1.0,True,True,False,True
Corydalis cava,corydalis cava,Corydalis cava,False,1.0,5715966.0,False,,1.0,True,True,False,True
Dactylorhiza sambucina,dactylorhiza sambucina,Dactylorhiza sambucina,False,1.0,609609.0,False,,1.0,True,True,False,True
Disa porrecta,disa porrecta,Disa porrecta,False,1.0,3972693.0,False,,2.0,False,False,False,False
Encelia farinosa,encelia farinosa,Encelia farinosa,False,1.0,380847.0,False,,1.0,True,False,False,False
Eschscholzia californica,eschscholzia californica,Eschscholzia californica,False,1.0,438086.0,False,,1.0,True,True,False,True
Heliconia irrasa,heliconia irrasa,Heliconia irrasa,False,1.0,344633.0,False,,1.0,True,True,False,True
Hesperis matronalis,hesperis matronalis,Hesperis matronalis,False,1.0,281533.0,False,,1.0,True,True,False,True
Ipomoea purpurea,ipomoea purpurea,Ipomoea purpurea,False,1.0,1071036.0,False,,1.0,True,True,False,True
Ipomopsis aggregata,ipomopsis aggregata,Ipomopsis aggregata,False,1.0,581695.0,False,,1.0,True,True,False,True
Iris lutescens,iris lutescens,Iris lutescens,False,1.0,165869.0,False,,1.0,True,True,False,True
Kadsura longipedunculata,kadsura longipedunculata,Kadsura longipedunculata,False,1.0,533189.0,False,,1.0,True,True,False,True
Lantana camara,lantana camara,Lantana camara,False,1.0,78889.0,False,,1.0,True,True,False,True
Leptosiphon parviflorus,leptosiphon parviflorus,Leptosiphon parviflorus,False,1.0,1081807.0,False,,1.0,True,True,False,True
Lotus corniculatus,lotus corniculatus,Lotus corniculatus,False,1.0,183572.0,False,,1.0,True,True,False,True
Lupinus perennis,lupinus perennis,Lupinus perennis,False,1.0,902811.0,False,,1.0,True,True,False,True
Lupinus polyphyllus,lupinus polyphyllus,Lupinus polyphyllus,False,1.0,1030439.0,False,,1.0,True,True,False,True
Lysimachia monelli,lysimachia monelli,,,,,,,,False,False,False,False
Mimulus ringens,mimulus ringens,Mimulus ringens,False,1.0,999923.0,False,,1.0,True,True,False,True
Mirabilis jalapa,mirabilis jalapa,Mirabilis jalapa,False,1.0,740466.0,False,,1.0,True,True,False,True
Opuntia streptacantha,opuntia streptacantha,Opuntia streptacantha,False,1.0,880257.0,False,,1.0,True,True,False,True
Pedicularis comosa,pedicularis comosa,Pedicularis comosa,False,1.0,5536429.0,False,,1.0,True,True,False,True
Raphanus sativus,raphanus sativus,Raphanus sativus,False,1.0,359073.0,False,,1.0,True,True,False,True
Rhododendron arboreum,rhododendron arboreum,Rhododendron arboreum,False,1.0,909422.0,False,,1.0,True,True,False,True
Silene littorea,silene littorea,Silene littorea,False,1.0,418324.0,False,,2.0,False,False,False,False
Solanum carolinense,solanum carolinense,Solanum carolinense,False,1.0,390164.0,False,sibling_higher,1.0,True,True,False,True
Stellera chamaejasme,stellera chamaejasme,Stellera chamaejasme,False,1.0,191882.0,False,,1.0,True,True,False,True
