canonical_name,family,spatial_scale,n_climate_cells,source_id
Agave lechuguilla,Asparagaceae,among_population,65,10.3732/ajb.90.3.377
Anemone palmata,Ranunculaceae,within_population,87,10.1111/plb.13702
Antirrhinum majus,Plantaginaceae,among_population,196,10.15479/at:ista:th_526
Aquilegia coerulea,Ranunculaceae,among_population,111,10.1093/aob/mcv028
Bletilla striata,Orchidaceae,within_population,177,10.3390/ijms26083555
Calceolaria uniflora,Calceolariaceae,among_population,90,10.1007/s00606-003-0083-1
Campanula americana,Campanulaceae,among_population,37,10.3389/fpls.2020.00991
Convolvulus arvensis,Convolvulaceae,among_population,189,10.1111/plb.13537
Corydalis cava,Papaveraceae,within_population,168,10.1007/s13592-014-0326-x
Dactylorhiza sambucina,Orchidaceae,within_population,168,10.3390/d15020179
Disa porrecta,Orchidaceae,among_population,48,10.1093/aob/mcaf074
Encelia farinosa,Asteraceae,among_population,93,10.1002/ajb2.16413
Eschscholzia californica,Papaveraceae,among_population,124,10.1007/bf00989403
Heliconia irrasa,Heliconiaceae,within_population,72,10.2307/1367077
Hesperis matronalis,Brassicaceae,within_population,188,10.1093/aob/mcn181
Ipomoea purpurea,Convolvulaceae,within_population,170,10.1111/j.1558-5646.1987.tb02468.x
Ipomopsis aggregata,Polemoniaceae,within_population,141,10.1002/j.1537-2197.1988.tb14186.x
Iris lutescens,Iridaceae,among_population,91,10.1093/aob/mcw036
Kadsura longipedunculata,Schisandraceae,among_population,121,10.1002/bod2.12020
Lantana camara,Verbenaceae,within_population,175,10.1007/s44372-024-00072-5
Leptosiphon parviflorus,Polemoniaceae,within_population,54,https://openalex.org/W7111452177
Lotus corniculatus,Fabaceae,among_population,178,10.1111/j.1469-8137.1981.tb04098.x
Lupinus perennis,Fabaceae,within_population,125,https://openalex.org/W3041830603
Lupinus polyphyllus,Fabaceae,within_population,177,10.33338/ef.83851
Lysimachia monelli,Primulaceae,within_population,96,10.1186/s12870-024-05481-y
Mimulus ringens,Phrymaceae,among_population,237,10.1093/botlinnean/boad065
Mirabilis jalapa,Nyctaginaceae,within_population,187,10.1086/673245
Opuntia streptacantha,Cactaceae,within_population,153,10.5091/plecevo.112250
Pedicularis comosa,Orobanchaceae,among_population,98,10.64898/2026.01.30.700338
Raphanus sativus,Brassicaceae,within_population,140,10.1002/j.1537-2197.1987.tb08595.x
Rhododendron arboreum,Ericaceae,within_population,101,10.1163/22238980-bja10061
Silene littorea,Caryophyllaceae,within_population,52,10.1111/plb.13209
Solanum carolinense,Solanaceae,within_population,243,10.5091/plecevo.128527
Stellera chamaejasme,Thymelaeaceae,within_population,133,10.64898/2026.04.16.719044
